field_1,Name,Hanzi,Polity,location,Latitude,Longitude,field_8,field_9,field_10
,Changge,??,Zheng,"NE of Changge Co ???, Henan",34.2167199,113.76827,"Also known as Xuge ??. Yin 5.8(C), 5.10, 6.5©",,
,Changjian,??,Lu,"In Sishui Co ???, Shandong",35.55034,117.24158,Zhao 22.3(C),,
,Changqiu,??,Song,"S of Fengqiu Co ???, Henan",35.0411899,114.41861,Wen 11.5.,,
,Changshao,??,Lu,"P, N of Qufu Co ???, Shandong",35.53986,117.04719,"Zhuang 10.1(C), 10.1",,
,Changyan,??,Lu,"SE of Qufu Co ???, Shandong",35.53986,117.04719,Xi 29.1,,
,Changyimi,???,Ju,"NW of Ju Co ??, Shandong",35.5799699,118.83687,Zhao 1.11,,
,Chanshi,??,Lu,"Pingyi Co ???, Shandong",35.5058699,117.64048,Ai 8.2,,
,Chanyuan,??,"Wei, then Jin","NW of Puyang Co ???, Henan",35.5764999,115.26089,"Xiang 20.2(C), 20.2, 26.5(C), 26.7, 30.9(C), 30.12",,
,Chao,? (2),Wei,Unk,40.7011879,-99.1014292,Ai 11.6,,
,Chaojia,??,Song,"Luyi Co ???, Henan",33.8600899,115.48443,Cheng 18.5,,
,Chaoqiu,??,Lu,"P, near Taishan Co ???, Shandong",36.2558333,117.1055555,Cheng 2.1,,
,Chen,?,"Dom, CN Gui ?","Cap Wanqiu ?? in modern Huaiyang Co ?? ?, Henan",33.7314999,114.88614,Yin 3.7 et passim. See map 1,,
,Cheng,? (also Cheng ?),Lu,"NE of Ningyang Co ???, Shandong",35.7605999,116.80112,"Huan 6.2(C), 6.3; Zhuang 30.2(C); Xiang 15.3(C), 15.4(C), 15.5, 16.8(C), 16.4; Zhao 7.5, 26.4; Ding 8.1, 12.10(C), 12.11(C), 12.2; Ai 14.6, 15.1(C), 15.1, 15.4. See map 4",,
,Cheng,?,,"Small dom SE of Pu Co ??, Shandong",36.6682599,117.02076,"Yin 5.3(C), 5.6, 10.5(C), 10.4; Zhuang 8.3(C), 8.2; Xi 24.2; Wen 11.6, 12.1.",,
,Chengchu,??,"Song, then Wei","E of Huaxian ??, Henan",35.1839767,114.6571203,"Ai 11.6, 25.1, 26.3",,
,Chengdi,??,Zheng,"N of Yuanyang Co ???, Henan",35.052761,113.967907,Xiang 5.9,,
,Chengfu  (1). .,??,Chu,"SE of Bo Co ??, Anhui.",31.8615699,117.28565,"Zhao 9.2, 30.3",,
,Chengfu,?? (2),Chu,"E of Baofeng Co ???, Henan",33.8683999,113.05479,"Zhao 19.6; Ai 6.2, 6.4, 16.5",,
,Chenggao,??,Song,"Xiao Co ??, Anhui",34.18835,116.94153,Cheng 18.5,,
,Chengjiu,?? (river),Chu,"P, flowed just S of Zhongxiang Co ???, Hubei",31.1679699,112.58817,Ding 5.7,,
,Chengjun,??,Zheng,Unk,40.7011879,-99.1014292,Xiang 26.6; Zhao 8.6,,
,Chengkou passes,??,Chu,"Collective name of the three passes Dasui ??, Zhiyuan ??, and Ming’e ??",-42.9495392,171.3440155,Ding 4.3,,
,Chengpu  .  ;,??.,Wei,"Same as modern Linpu Cheng ??? in Fan Co ??, Shandong.",35.8519299,115.50411,"Zhuang 27.7(C); Xi 28.5(C), 28.3, 28.6; Wen 10.3; Xuan 12.5 Cheng 2.3; Xiang 8.8, 25.10; Zhao 5.4, 5.8. See map 2.",,
,Chengqiu,??,Lu,"Gunzhou Co ???, Shandong",35.545071,116.776249,"Zhuang 10.4(C), 10.2, 11.1, 11.4",,
,Chengying,??,Zheng,"NW of Linying Co ???, Henan",33.8296951,113.9674515,Yin 1.4,,
,Chengzhou,??,Zhou,Eastern cap of Zhou,34.6930973317,112.5185348267,"E of Loyang City ???, Henan. Yin 3.3; Zhuang 20.1; Xi 24.2; Xuan 16.2(C), 16.2; Zhao 24.8, 26.7(C), 26.9, 32.5(C), 32.3; Ding 1.1. See map 3",,
,Chenling,??,Chen,"W of Huaiyang Co ???, Henan",33.7314999,114.88614,"Xuan 11.2(C), 11.1, 11.6",,
,Chi .,?,Song.,"Su Co ??, Henan.",34.7657099,113.75322,"Huan 15.10(C), 15.7.",,
,Chi,?,"Originally Zhou, then Zheng and Jin","P, SW of Qinyang Co ???, Henan",35.0875999,112.9506,Yin 11.5,,
,Chiji,??,Jin,Unk,40.7011879,-99.1014292,"Cheng 1.5(C), 1.3, 12.4",,
,Chong,?,Lu,"NW of Yutai Co ???, Shandong",34.96956,116.55165,Xi 31.1,,
,Chong,?,"Small dom, later Wei","E of Hu Co ??, Shaanxi",34.1084699,108.60494,Xi 19.5; Xiang 31.13,,
,Chong,?,Zhu,"Jining Co ???, Shandong",35.35158,116.53727,"Zhao 19.3, 19.5",,
,Chonglao,??,Zheng,"N of Fengqiu Co ???, Henan",35.0411899,114.41861,"Cheng 5.7(C), 5.7, 7.4; Xiang 18.4; Ding 8.8",,
,Chongqiu,?? (1),Qi,Unk,40.7011879,-99.1014292,"Xiang 25.5(C), 25.6, 28.2",,
,Chongqiu,?? (2),Cao,"SW of Chaping Co ???, Shandong",36.5806799,116.25522,Xiang 17.2,,
,Chou,?,A place on the Jin/Zheng border,Unk,40.7011879,-99.1014292,Wen 17.4,,
,Chou,?,Chu,"SE of Lushan Co ???, Henan",33.7385399,112.90802,"Zhao 1.13, 13.2",,
,Chu .,?,"Dom,",CN Mi ?.,50,50,Huan 2.4 et passim. See map 1.,,
,Chu .,?,,"E of Hua Co ??, Henan.",35.5753399,114.5193,Xiang 4.7.,,
,Chù . .,?,Jin,"Near Wen Co ??, Henan.",34.9402299,113.08057,Xiang 26.10; Zhao 14.7.,,
,Chu,?,Song,Unk,40.7011879,-99.1014292,Zhao 21.6,,
,Chui,? (1),Qi,"Pingyin Co ???, Shandong",36.2893699,116.45599,Xuan 8.3(C),,
,Chui,? (2),Wei,"P N of Cao Co ??, Shandong, or SE of Juancheng Co ???, Shandong",35.54971,115.59926,Yin 8.1(C); Huan 1.2(C); Zhuang 4.3(C),,
,Chuibi,??,Lu,"P near Ningyang Co ???, Shandong",35.7605999,116.80112,Zhao 26.4,,
,Chuiji,??,Jin,"N of Lucheng Co ???, Shanxi",36.3335642,113.2922553,Xi 2.2; Cheng 5.5,,
,Chuijia,??,Qi,"SW of Juye Co ???, Shandong",35.3963299,116.09495,"Ding 13.1(C), 13.1",,
,Chuilong,??,Zheng,"NE of Xingyang Co ???, Henan",34.7901604,113.410389,"Wen 2.4(C), 2.4; Xiang 27.5",,
,Chunliu,??,Jin,"S of Tunliu Co ???, Shanxi",36.3155299,112.89221,Xiang 18.2,,
,Chunyu,??,Cap of Zhou ?,"NE of Anqiu Co ???, Shandong",36.36104,119.16773,Huan 5.6; Zhao 1.1,,
,Chuqiu,?? (1),Wei,"E of Hua Co ??, Henan",35.5753399,114.5193,Min 2.9; Xi 2.1(C),,
,Chuqiu,?? (2),Between Song and Cao,"SW of Chengwu Co ???, Shandong",34.9757025,115.9889939,"Yin 7.6(C), 7.5; Xiang 10.2",,
,Churen,??,Xu,"Xuchang Co ???, Henan",34.1259599,113.82272,Cheng 4.5,,
,Chushi,??,Zhou,"P near Luoyang ??, Henan",34.6181299,112.45402,Zhao 26.7,,
,Cuanhan,??,Wei,Unk,40.7011879,-99.1014292,Xuan 11.4,,
,Cuanmao,??,"Zhou, then Jin","Xiuwu Co ???, Henan",35.2236099,113.44776,Yin 11.5; Xi 25.2,,
,Cui,?,Qi,"NE of Jiyang Co ???, Shandong",36.9784699,117.17333,Xiang 27.7,,
,Cui . . .,?,Lu,Unk,40.7011879,-99.1014292,Huan 17.2.,,
,Dabie,?? (mountain),Chu,"Modern Anyang Mountain ???, SW of Huoqiu Co ???, Anhui",32.33721,116.27533,Ding 4.3,,
,Dacheng,??,Cao,"In Heze Co ???, Shandong",35.15129,115.50733,Ai 7.5,,
,Dai,?,Dom,"E of Minquan Co ???, Henan",34.6762399,115.40713,"Yin 10.4(C), 10.4",,
,Daji,??,Song,"S of Sui Co ??, Henan",34.429664,115.080638,"Xuan 2.1(C), 2.1, 2.2",,
,Dalin . .,??,Chu,"NW of Jingmen Co ???, Hubei.",30.95195,112.26979,Wen 16.4.,,
,Daling,??,Zheng,"N of Linying Co ???, Henan",33.8296951,113.9674515,Zhuang 14.2,,
,Dalu,??,Jin,"NW of Huojia Co ???, Henan",35.2596199,113.65716,Ding 1.1,,
,Dalu,??,Jin,"SW of Taiyuan City ???, Shanxi",37.8705899,112.55067,Zhao 1.6(C),,
,Daming,??,Chen,"In Xiangcheng Co ???, Henan",33.43374,114.81779,Ai 6.4,,
,Dan,?,Dom,"Region of modern-day Kaifeng City ???, Henan",34.7569999,114.44136,Xi 24.2,,
,Dao,?,Dom,"N of Queshan Co ???, Henan",32.762655,114.02833,Xi 5.7; Zhao 13.4,,
,Dapang. .,??,Ju,"NW of Ju Co ??, Shandong.",35.5799699,118.83687,Zhao 1.11.,,
,Dasui,?? (2),Chu,"In Gaotang Co ???, Shandong",36.91778,116.2323,Xiang 19.12,,
,Daxia,??,Jin,"Ji Co ??, Xi Co ??, Yicheng Co ???, Shanxi",35.7382299,111.71836,Zhao 1.12,,
,Daye,??,Lu,"N of Juye Co ???, Shandong",35.3963299,116.09495,Ai 14.1,,
,Deng,? (1),Lu,Unk,40.7011879,-99.1014292,Yin 10.1,,
,Deng,? (2),Cai,"SE of Luohe City ???, Henan",33.5814899,114.01681,"Huan 2.6(C), 2.4, Zhao 13.2",,
,Deng,? (3),"Dom, CN Man ?; later Chu","In Deng Co ??, Henan",32.6877699,112.08736,Huan 9.2; Zhuang 6.3; Cheng 9.4; Zhao 9.3. See map 4,,
,Dianling,??,Yu,"Modern Yuban ??, NE of Pinglu Co ???, Shanxi",34.8369158,111.201448,Xi 2.2,,
,Diqiu,?? (Emperor’s Hillock),Relocated cap of Wei ? dom,"SW of Puyang Co ???, Henan",35.5764999,115.26089,"Xi 31.6(C), 31.5; Zhao 17.5.",,
,Diquan . .,?? / ??,Zhou,"In Luoyang City ???, Henan.",34.6181299,112.45402,"Xi 29.3(C), 29.2",,
,Dong,?,Jin,"E of Ronghe Town ???, Wanrong Co ???, Shanxi",35.355511,110.552426,Wen 6.1,,
,Dong Marsh,??,Jin,"NE of Wenxi Co ???, Shanxi",35.406317,111.341279,Xuan 12.2,,
,Dongshan . .,??,Jin,"Unk, perhaps just “eastern mountains.”",40.7011879,-99.1014292,Min 2.7.,,
,Dongyang,?? (1),Lu,"NW of Fei Co ??, Shandong",35.278287,117.979969,Ai 8.2,,
,Dongyang,?? (2),Qi,"E of Linqu Co ???, Shandong",36.5123099,118.543,"Xiang 2.4, 6.7",,
,Dongyang,?? (3),Jin,"Around Handan ??? and Xingtai Co ???, Hebei",37.0862699,114.54489,Xiang 23.4; Zhao 22.4.,,
,Dongyu,??,Zhou,"SW of Yanshi Co ???, Henan",34.7264684,112.76553,Zhao 22.5,,
,Dongzi,??,Zhou,"In Gong Co ??, Henan",34.7479799,113.02206,"Zhao 24.8, 25.7",,
,Doucheng,??,Zheng,"NE of Tongxu Co ???, Henan",34.4804399,114.46741,Xiang 30.10,,
,Duandao,??,Jin,"W of Jiyuan Co ???, Henan",35.0745099,112.60383,"Xuan 17.6(C), 17.1",,
,Dun,?,"Dom, later Chu","Nandun Old Town ????, W of Xiangcheng Co ???, Henan",33.4681925769,114.8706165464,Xi 23.3,,
,Duoyu,??,Que,"In Yucheng Co ???, Henan",34.406742,115.864501,Xi 2.4,,
,Duyang(1).,??,Qi.,"Modern Zhuke ??, NE of Changqing Co ???, Shandong.",36.5535799,116.75199,"Xiang 19.1, 20.1.",,
,Duyang  (2). . .,??,Zheng,Unk,40.7011879,-99.1014292,Cheng 16.8.,,
,E,?,Jin,"S of Xiangning Co ???, Shanxi",35.9708125,110.8472604,Yin 6.2,,
,Ecao,??,Wei,"SE of Yanjin Co ???, Henan",35.1419399,114.20515,"Huan 11.1(C), 11.1",,
,Er  (river).  .,?,Yan.,"NW of Renqiu Co ???, Hebei",38.7116399,116.09954,Zhao 7.1.,,
,Fan,?,Dom,"SW of Hui Co ??, Henan",35.4621199,113.8054,Xi 24.2; Xiang 12.3,,
,Fan,? (1),Zheng,"S of Xiangcheng Co ???, Henan",33.8507199,113.50669,"Xi 24.2, 24.5; Cheng 7.4; Zhao 5.2.",,
,Fan  .,? (2).,Zhou,"NE of Gong Co ??, Henan.",34.7479799,113.02206,Zhao 22.5,,
,Fan,?,Jin,"P, Yangfan ?? SE of Jiyuan Co ???, Henan.",35.0745099,112.60383,Yin 11.5; Zhuang 30.1.,,
,Fang . .,? (1),"Lu, formerly Song","NE of Fei Co, ??, Shandong.",35.2665899,117.9771099,"Yin 9.6(C); Zhuang 7.1(C), 7.1, 22.5(C), 29.5(C), 29.4; Xiang 13.4(C), 13.6, 17.4(C), 17.3, 23.5.",,
,Fang.,? (2),"Song, later Lu.","SW of Jinxiang Co ???, Shandong.",35.0666099,116.31148,Yin 10.3(C),,
,Fang,? (3),"Ju, later returned to Lu","SW of Anqiu Co ???, Shandong",36.36104,119.16773,"Zhao 5.4(C), 5.6.",,
,Fang . .,? (1),Dom,"General area of Suiping Co ???, Henan.",33.1450469,114.0015478,Zhao 13.5,,
,Fang,? (?) (2),Lu,"E of Qufu Co ???, Shandong",35.53986,117.04719,"Xi 14.2(C), 14.2; Ding 5.4",,
,Fangcheng,?? (1),Yong,"E of Zhushan Co ???, Hubei",32.2246799,110.22879,Wen 16.4,,
,Fangcheng,?? (2),Chu,Unk,40.7011879,-99.1014292,Xi 4.1,,
,Fangzhong,??,Wu,"Modern Kantuan Town ???, SW of Mengcheng Co ???, Anhui",33.004662,116.322456,Zhao 6.9,,
,Fangzhu,??,Chu,"In Fang Co ??, Hubei",32.0555199,110.74116,Wen 11.1,,
,Fanyang,?? (??),Chu,"N of Xincai Co ???, Henan",32.74804,114.97608,"Zhao 5.8; Ding 6.4, Xiang 4.1",,
,Feather Mount .,??,,"P NW of Donghai Co???, Jiangsu.",34.54239,118.75303,Zhao 7.7.,,
,Fei,?,Dom,"Feiziguo Old Town ?????, Dongyetou Town ????, Xiyang Co ???, Shanxi",37.639189,113.94865,"Zhao 12.7, 12.12.",,
,Fei . .,?,Zheng,"N of Xinzheng Co ???, Henan.",34.39603,113.73097,Wen 13.9(C),,
,Fen,?,Chu,"SW of Xuchang City ???, Henan",34.1259599,113.82272,Xiang 18.4,,
,Fen River,??,Jin,"Flows from SW of Ningwu Co ??? to NE of Houma City ??? and SW of Hejin Co ???, entering the Yellow River ??, Shanxi",35.5964299,110.71186,Xi 16.3; Cheng 6.5; Zhao 1.12.,,
,Feng . .,?,Zhou,"Near Luoyang City ???, Henan.",34.6181299,112.45402,Ding 6.5,,
,Feng,?,Chu,"SW of Xichuan Co ???, Henan",33.0333333,111.55,Ai 4.2,,
,Feng,?,"Dom, CN Ji ?","E of Hu Co ??, Shaanxi",34.1084699,108.60494,Xi 24.2,,
,Feng Marsh,??,Song,"N of cap S of Shangqiu City ???, Henan.",34.4142699,115.65635,Ai 14.4,,
,Fenquan,??,Lu,Unk,40.7011879,-99.1014292,"Border of Lu and Ju. Zhao 5.6(C), 5.7",,
,Four Peaks,??,"Ancient Taishan ??, Huashan ??, Hengshan ??, and Hengshan ??",Unk,40.7011879,-99.1014292,Zhao 4.1.,,
,Fuhan . .,??,Chu,"In Nanyang Co ???, Henan.",32.68649,112.60989,Ai 4.2,,
,Fujiao,??,Wu,"Near Shaoxing Co ???, Zhejiang",29.930851,120.503422,Ai 1.2,,
,Fulai,??,Ju,"W of Ju Co ??, Shandong",35.5799699,118.83687,"Yin 8.7(C), 8.7",,
,Fuqu,??,Song,"Between Shangqiu Co ??? and Ningling Co ???, Henan",34.573815,115.318084,Cheng 16.3.,,
,Fushan . .,??,Chu,"S of Fang Co ??, Hubei.",32.0555199,110.74116,Wen 16.4,,
,Fushi . . .,??,Jin,"E of Dali Co ???, Shaanxi",34.7956039,109.9420041,Xuan 15.5; Cheng 13.3; Xiang 11.6.,,
,Fushu,??,Zhou,"SW of Dengfeng Co ???, Henan",34.45488,113.01869,Ding 6.5,,
,Fuxia,??,Lu,"W of Yanzhou Co ???, Shandong",35.51628,116.79961,Ai 7.4,,
,Fuyu,??,Qi,"Near former Changshan Co ???, Shandong",36.6682599,117.02076,Zhao 10.2,,
,Fuzhong . .,??,"Cheng, later Lu","NE of Wenshang Co ???, Shandong.",35.728057,116.491267,"Huan 11.6(C); Wen 11.6, 12.1.",,
,Gangshan,??,Chu,Unk,40.7011879,-99.1014292,Zhao 11.8,,
,Ganhou,??,Jin,"SE of Cheng’an Co ???, Hebei",36.442643,114.690184,"Zhao 25.4, 28.2(C), 28.1, 29.1(C), 29.2(C), 29.1, 29.3, 30.1(C), 30.1, 31.1(C), 31.4(C), 31.1, 32.1(C), 32.6(C), 32.1, 32.4; Ding 1.3(C), 1.2, 1.3; Ai 1.5. See map 3",,
,Ganlu,??,Zhou,"NW of Song Co ??, Henan",34.129408,112.086226,Zhao 17.4,,
,Ganshi,??,Qi,"SW of Linzi ??, Zibo City ???, Shandong",36.85287,118.302,"Zhuang 9.5(C), 9.4",,
,Ganxi,??,Chu,"SE of Bo Co ??, Anhui",31.8615699,117.28565,"Zhao 6.9, 12.11, 13.2(C), 13.2",,
,Gao,? (1),"Dom, CN Ji ?","SE of Chengwu Co ???, Shandong",34.9757025,115.9889939,Xi 24.2,,
,Gao,? (3),Jin,Unk,40.7011879,-99.1014292,Cheng 13.3,,
,Gao,?,Rong,"Near Luoyang City ???, Henan",34.6181299,112.45402,Xi 11.3,,
,Gaoliang,??,Jin,"NE of Linfen City ???, Shanxi",36.0882199,111.51962,"Xi 9.5, 15.4, 24.1",,
,Gaoshi,??,Zheng,"SW of Yu Co ??, Henan",34.7657099,113.75322,Cheng 17.1,,
,Gaotang,??,Qi,"E of Gaotang Co ???, Shandong",36.91778,116.2323,"Xiang 19.1, 19.5, 25.2; Zhao 10.2; Ai 10.4.",,
,Gaoyou,??.,,"S of Linying Co ???, Henan.",33.8296951,113.9674515,"Ding 4.4(C), 4.1",,
,Gaoyu,??,Lu,"N of Yuncheng Co ???, Shandong",35.4139399,115.83012,Xiang 26.14,,
,Gaozhou,??,Wu,Unk,40.7011879,-99.1014292,Xiang 14.7,,
,Gate of Qiong,??,,"S of Luoyang City ???, Henan.",34.6181299,112.45402,.Xiang 4.7.,,
,Ge,?,"Dom, CN Yin ?","P, N of Ningling Co ???, Henan",34.573815,115.318084,Huan 15.8(C),,
,Geng,?,Dom,"SE of Hejin Co ???, Shanxi",35.5964299,110.71186,Min 1.6,,
,Geng,?,"Ju, later taken by Lu","In Yishui Co ???, Shandong",35.7903399,118.62782,"Zhao 10.3, 12.4, 13.3",,
,Gengyang,??,Jin,"In Qingxu Co ???, Shanxi",37.6085599,112.35925,"Xiang 18.3; Zhao 28.3, 28.4",,
,Gengzong,??,Lu,"E of Sishui Co ???, Shandong",35.55034,117.24158,Zhao 4.8; Ai 8.2,,
,Genmou,??,Lu,"S of Yishui Co ???, Shandong",35.7903399,118.62782,"Xuan 9.5(C), 9.2; Zhao 8.4",,
,Gong,?,Zhou,"In Gong Co ??, Henan",34.7479799,113.02206,"Zhao 25.7, 26.9",,
,Gong,?,"Dom, later Wei","P, Hui Co ??, Henan",35.4621199,113.8054,Yin 1.4; Min 2.5,,
,Gongchi,??,Jin,"In Pinglu Co ???, Shanxi",34.8369158,111.201448,Huan 10.4,,
,Gongxu ravine,????,Chu,"P, E of Xiangfan City ???, Hubei",32.0871799,112.21194,Ding 5.5,,
,Goudou Knoll,???? (2),Qi,"P, in Linzi ??, Shandong",36.85287,118.302,"Xiang 19.5, 21.3, 28.11; Ai 6.5",,
,Goushi,??,"Yong, later Chu","Covered by a reservoir in an area once governed by Jun Co ??, Hubei",30.5453899,114.34234,Wen 16.4,,
,Gouyi .,??,"Zhu, later Lu.","SE of Zou Co ??, Shandong.",35.2910599,117.13367,"Ai 2.1(C), 14.1(C), 14.2.",,
,Gu,? (river),Qi,"Modern Dagu River ???, Shandong",36.1858333,120.1177778,Zhao 20.6,,
,Gu,?,Dom,"Jin Co ??, Hebei",38.0359899,114.46979,"Zhao 15.5, 21.8, 22.4",,
,Gu,? (1),Dom,"P, NW of Gucheng Co ???, Hubei",32.2633799,111.65304,"Huan 7.2(C), 7.1",,
,Gu,? (2),Qi,"Dong’e Town ???, Shandong",36.172849,116.28539,"Zhuang 7.5(C), 23.6(C); Xi 26.7(C), 26.7, 27.4, 28.3; Wen 17.3(C), 17.5(C), 17.3, 17.7; Xuan 14.6(C), 14.4; Cheng 5.3(C), 17.9, 18.2; Xiang 19.8(C), 19.6; Zhao 11.10; Ai 24.1, 27.3. See map 2",,
,Guan,?,Zheng,"Modern Zhengzhou City ???, Henan",34.7472499,113.62493,Xuan 12.2,,
,Guan,?,Song,"N of Dan Co ??, Shandong",34.7943799,116.08724,"Yin 10.3(C), 10.3",,
,Guan,?,"Dom, CN Yao ?, later Wei","W of former Guancheng Co ???, Shandong",35.92774,115.39532,Zhao 1.2.,,
,Guan. .,?,Song,"S of Cao Co ??, Shandong.",36.6682599,117.02076,"Xi 2.4(C), 2.3",,
,Guanshi,??,Jin,"N of Guan Co ?? and near Guantao ??, Shandong",36.535537,115.299524,Ai 15.4.,,
,Guayan . .,??,Jin,"N of Xiaoyi Co ???, Shanxi.",37.1453399,111.77903,Xuan 15.6,,
